team_name,country,group,place_in_group
PSG,FRA,A,1
Real Madrid,ESP,A,2
Bayern,GER,B,1
Tottenham,ENG,B,2
Manchester City,ENG,C,1
Atalanta,ITL,C,2
Juventus,ITL,D,1
Atletico,ESP,D,2
Liverpool,ENG,E,1
Napoli,ITL,E,2
Barcelona,ESP,F,1
Dortmund,GER,F,2
RB Leipzig,GER,G,1
Lyon,FRA,G,2
Valencia,ESP,H,1
Chelsea,ENG,H,2
