team_name,country,group,place_in_group
Bayern Munich,GER,A,1
Atletico Madrid,ESP,A,2
Real Madrid,ESP,B,1
Monchengladbach,GER,B,2
Manchester City,ENG,C,1
FC Porto,POR,C,2
Liverpool,ENG,D,1
Atalanta,ITL,D,2
Chelsea,ENG,E,1
Sevilla,ESP,E,2
Dortmund,GER,F,1
Lazio,ITL,F,2
Juventus,ITL,G,1
Barcelona,ESP,G,2
PSG,FRA,H,1
RB Leipzig,GER,H,2
